path	upstream_delta	project_relation	resolution	schema_affected	template_meta	rationale
lib/auth/account_deletion_cleanup.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
lib/auth/auth_providers.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
lib/auth/share_temporary_file_cleanup.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
lib/auth/share_temporary_file_cleanup_io.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
lib/auth/share_temporary_file_cleanup_stub.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
lib/billing/billing_providers.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
lib/billing/gate_helper.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
lib/billing/paywall_screen.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
lib/billing/pro_entitlement_cache_repository.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
lib/billing/pro_entitlement_providers.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
lib/billing/pro_entitlement_repository.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
lib/block_item.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
lib/calendar_export.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
lib/calendar_export_delivery.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
lib/calendar_export_request_builder.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
lib/compact_overview.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
lib/config/revenuecat_config.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
lib/config/supabase_config.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
lib/edit_sheet.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
lib/image_export_delivery.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
lib/image_export_delivery_io.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
lib/image_export_delivery_stub.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
lib/image_export_delivery_web.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
lib/main.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
lib/models.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
lib/notifications/reminder_notifications.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
lib/persistence/app_database.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
lib/persistence/app_database.g.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
lib/persistence/persistence_providers.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
lib/persistence/plan_repository.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
lib/persistence/timeline_state_codec.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
lib/persistence/timeline_template_apply_service.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
lib/persistence/timeline_template_repository.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
lib/plan_manager_sheet.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
lib/plan_panel.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
lib/platform_time_picker.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
lib/settings/settings_screen.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
lib/state.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
lib/template_sheet.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
lib/text_export_delivery.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
lib/theme.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
lib/timeline_image_export.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
lib/timeline_image_share_card.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
lib/timeline_screen.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
lib/timeline_text_export.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
linux/.gitignore	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
linux/CMakeLists.txt	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
linux/flutter/CMakeLists.txt	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
linux/flutter/generated_plugin_registrant.cc	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
linux/flutter/generated_plugin_registrant.h	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
linux/flutter/generated_plugins.cmake	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
linux/runner/CMakeLists.txt	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
linux/runner/main.cc	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
linux/runner/my_application.cc	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
linux/runner/my_application.h	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
macos/.gitignore	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
macos/Flutter/Flutter-Debug.xcconfig	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
macos/Flutter/Flutter-Release.xcconfig	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
macos/Flutter/GeneratedPluginRegistrant.swift	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
macos/Runner.xcodeproj/project.pbxproj	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
macos/Runner.xcodeproj/project.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
macos/Runner.xcodeproj/xcshareddata/xcschemes/Runner.xcscheme	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
macos/Runner.xcworkspace/contents.xcworkspacedata	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
macos/Runner.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
macos/Runner/AppDelegate.swift	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
macos/Runner/Assets.xcassets/AppIcon.appiconset/app_icon_1024.png	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
macos/Runner/Assets.xcassets/AppIcon.appiconset/app_icon_128.png	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
macos/Runner/Assets.xcassets/AppIcon.appiconset/app_icon_16.png	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
macos/Runner/Assets.xcassets/AppIcon.appiconset/app_icon_256.png	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
macos/Runner/Assets.xcassets/AppIcon.appiconset/app_icon_32.png	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
macos/Runner/Assets.xcassets/AppIcon.appiconset/app_icon_512.png	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
macos/Runner/Assets.xcassets/AppIcon.appiconset/app_icon_64.png	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
macos/Runner/Base.lproj/MainMenu.xib	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
macos/Runner/Configs/AppInfo.xcconfig	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
macos/Runner/Configs/Debug.xcconfig	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
macos/Runner/Configs/Release.xcconfig	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
macos/Runner/Configs/Warnings.xcconfig	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
macos/Runner/DebugProfile.entitlements	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
macos/Runner/Info.plist	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
macos/Runner/MainFlutterWindow.swift	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
macos/Runner/Release.entitlements	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
macos/RunnerTests/RunnerTests.swift	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
public/medo/account-deletion/index.html	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
public/medo/privacy/index.html	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
pubspec.lock	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
pubspec.yaml	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
scripts/agent-workflow-hook.mjs	removed	upstream-owned-unmodified	remove	no	no	owner-authorized cleanup; canonical hook config uses the v1.2.0 TypeScript replacement
scripts/agent-workflow-hook.ts	added	customized-shared	apply	no	no	import the v1.2.0 consumer file
scripts/check-docs.sh	modified	upstream-owned-unmodified	apply	no	no	cutoff matches B, so apply the exact upstream update
scripts/create-template-archive.sh	unchanged	upstream-owned-unmodified	keep	no	no	no upstream change
scripts/scope.mjs	removed	upstream-owned-unmodified	remove	no	no	owner-authorized cleanup; all canonical validators import scope.ts
scripts/scope.ts	added	customized-shared	apply	no	no	import the v1.2.0 consumer file
scripts/test-agent-workflow-hook.mjs	removed	upstream-owned-unmodified	remove	no	no	owner-authorized cleanup; replaced by test-agent-workflow-hook.ts
scripts/test-agent-workflow-hook.ts	added	customized-shared	apply	no	no	import the v1.2.0 consumer file
scripts/test-agent-workflow-smoke.mjs	removed	customized-shared	remove	no	no	owner-authorized cleanup; downstream compatibility is carried by test-agent-workflow-smoke.ts
scripts/test-agent-workflow-smoke.ts	added	customized-shared	merge	no	no	import v1.2.0 while using the downstream documentation guide instead of the absent template QUICKSTART
scripts/test-validators.mjs	removed	customized-shared	remove	no	no	owner-authorized cleanup; downstream regression coverage is carried by test-validators.ts
scripts/test-validators.ts	added	customized-shared	merge	no	no	import v1.2.0 and retain a regression case for canonical future QA references in Backlog
scripts/validate-doc-links.mjs	removed	customized-shared	remove	no	no	owner-authorized cleanup; project root compatibility is carried by validate-doc-links.ts
scripts/validate-doc-links.ts	added	customized-shared	merge	no	no	import v1.2.0 and retain canonical root references for Backcast lib/ and public/ paths
scripts/validate-frontmatter.mjs	removed	customized-shared	remove	yes	no	owner-authorized cleanup; replaced by strict v1.2.0 validate-frontmatter.ts
scripts/validate-frontmatter.ts	added	customized-shared	apply	yes	no	import the v1.2.0 consumer file
scripts/validate-intent.mjs	removed	customized-shared	remove	yes	no	owner-authorized cleanup; legacy flat-path compatibility is carried by validate-intent.ts
scripts/validate-intent.ts	added	customized-shared	merge	yes	no	import v1.2.0 while retaining flat-path compatibility for unmarked legacy intent records
scripts/validate-qa.mjs	removed	customized-shared	remove	yes	no	owner-authorized cleanup; Backlog future-reference compatibility is carried by validate-qa.ts
scripts/validate-qa.ts	added	customized-shared	merge	yes	no	import v1.2.0 while requiring referenced QA files only for Ready and In Progress tasks
scripts/validate-todo.mjs	removed	upstream-owned-unmodified	remove	no	no	owner-authorized cleanup; replaced by validate-todo.ts
scripts/validate-todo.ts	added	customized-shared	apply	no	no	import the v1.2.0 consumer file
supabase/config.toml	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
supabase/functions/delete-account/.npmrc	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
supabase/functions/delete-account/deno.json	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
supabase/functions/delete-account/deno.lock	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
supabase/functions/delete-account/index.ts	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
supabase/functions/revenuecat-webhook/.npmrc	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
supabase/functions/revenuecat-webhook/deno.json	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
supabase/functions/revenuecat-webhook/deno.lock	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
supabase/functions/revenuecat-webhook/index.ts	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
supabase/functions/revenuecat-webhook/index_test.ts	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
supabase/functions/sync-reviewer-entitlement/.npmrc	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
supabase/functions/sync-reviewer-entitlement/deno.json	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
supabase/functions/sync-reviewer-entitlement/deno.lock	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
supabase/functions/sync-reviewer-entitlement/index.ts	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
supabase/functions/sync-reviewer-entitlement/index_test.ts	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
supabase/functions/usage-analytics/deno.json	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
supabase/functions/usage-analytics/deno.lock	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
supabase/functions/usage-analytics/index.ts	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
supabase/functions/usage-analytics/index_test.ts	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
supabase/migrations/20260509081731_revenuecat_supabase_entitlement_sync.sql	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
supabase/migrations/20260510113000_reviewer_temporary_entitlement.sql	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
supabase/migrations/20260513090000_usage_analytics.sql	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
supabase/migrations/revenuecat_entitlement_schema_test.ts	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
test/analytics/usage_analytics_test.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
test/auth/account_deletion_cleanup_test.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
test/billing/pro_access_state_test.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
test/billing/pro_entitlement_cache_repository_test.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
test/billing/pro_entitlement_repository_test.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
test/billing/purchase_flow_test.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
test/calendar_export_delivery_test.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
test/calendar_export_request_builder_test.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
test/calendar_export_test.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
test/persistence/plan_repository_test.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
test/persistence/timeline_template_apply_service_test.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
test/persistence/timeline_template_repository_test.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
test/reminder_notifications_test.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
test/template_sheet_test.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
test/timeline_image_export_test.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
test/timeline_image_share_card_test.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
test/timeline_text_export_test.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
test/widget_test.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
web/drift_worker.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
web/drift_worker.dart.js	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
web/drift_worker.dart.js.deps	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
web/drift_worker.dart.js.map	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
web/favicon.png	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
web/icons/Icon-192.png	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
web/icons/Icon-512.png	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
web/icons/Icon-maskable-192.png	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
web/icons/Icon-maskable-512.png	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
web/index.html	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
web/manifest.json	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
web/sqlite3.wasm	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
windows/.gitignore	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
windows/CMakeLists.txt	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
windows/flutter/CMakeLists.txt	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
windows/flutter/generated_plugin_registrant.cc	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
windows/flutter/generated_plugin_registrant.h	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
windows/flutter/generated_plugins.cmake	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
windows/runner/CMakeLists.txt	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
windows/runner/Runner.rc	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
windows/runner/flutter_window.cpp	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
windows/runner/flutter_window.h	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
windows/runner/main.cpp	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
windows/runner/resource.h	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
windows/runner/resources/app_icon.ico	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
windows/runner/runner.exe.manifest	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
windows/runner/utils.cpp	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
windows/runner/utils.h	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
windows/runner/win32_window.cpp	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
windows/runner/win32_window.h	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
