# docs-template v1.0.0 migration inventory
# B=1f7c92c53fa9df63de05da046a049507fcb4efac (owner-authorized synthetic comparison baseline; NOT an exact adoption record)
# U=v1.0.0@f71e9ab20466ea2972158334261f5ae2b2265754
# P=7990a6c68e9b6c0a25e6bc4ed41e7add5b6866a3 (clean owner-approved cutoff; isolated worktree)
# project relation override: every P-present B/U overlap is customized-shared because P is a mixed bundle
# resolution values: apply|merge|keep|remove|defer; disposition records non-destructive handling separately
path	upstream_delta	project_relation	resolution	disposition	rationale
ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-20x20@3x.png	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-29x29@1x.png	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-29x29@2x.png	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-29x29@3x.png	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-40x40@1x.png	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-40x40@2x.png	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-40x40@3x.png	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-60x60@2x.png	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-60x60@3x.png	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-76x76@1x.png	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-76x76@2x.png	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-83.5x83.5@2x.png	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
ios/Runner/Assets.xcassets/LaunchImage.imageset/LaunchImage.png	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
ios/Runner/Assets.xcassets/LaunchImage.imageset/LaunchImage@2x.png	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
ios/Runner/Assets.xcassets/LaunchImage.imageset/LaunchImage@3x.png	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
ios/Runner/Base.lproj/LaunchScreen.storyboard	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
ios/Runner/Base.lproj/Main.storyboard	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
ios/Runner/Info.plist	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
ios/Runner/Runner-Bridging-Header.h	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
ios/Runner/SceneDelegate.swift	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
ios/RunnerTests/RunnerTests.swift	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
lib/analytics/usage_analytics.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
lib/auth/account_deletion_cleanup.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
lib/auth/auth_providers.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
lib/auth/share_temporary_file_cleanup.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
lib/auth/share_temporary_file_cleanup_io.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
lib/auth/share_temporary_file_cleanup_stub.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
lib/billing/billing_providers.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
lib/billing/gate_helper.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
lib/billing/paywall_screen.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
lib/billing/pro_entitlement_cache_repository.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
lib/billing/pro_entitlement_providers.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
lib/billing/pro_entitlement_repository.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
lib/block_item.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
lib/calendar_export.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
lib/calendar_export_delivery.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
lib/calendar_export_request_builder.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
lib/compact_overview.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
lib/config/revenuecat_config.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
lib/config/supabase_config.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
lib/edit_sheet.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
lib/image_export_delivery.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
lib/image_export_delivery_io.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
lib/image_export_delivery_stub.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
lib/image_export_delivery_web.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
lib/main.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
lib/models.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
lib/notifications/reminder_notifications.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
lib/persistence/app_database.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
lib/persistence/app_database.g.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
lib/persistence/persistence_providers.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
lib/persistence/plan_repository.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
lib/persistence/timeline_state_codec.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
lib/persistence/timeline_template_apply_service.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
lib/persistence/timeline_template_repository.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
lib/plan_manager_sheet.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
lib/plan_panel.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
lib/platform_time_picker.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
lib/settings/settings_screen.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
lib/state.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
lib/template_sheet.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
lib/text_export_delivery.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
lib/theme.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
lib/timeline_image_export.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
lib/timeline_image_share_card.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
lib/timeline_screen.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
lib/timeline_text_export.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
linux/.gitignore	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
linux/CMakeLists.txt	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
linux/flutter/CMakeLists.txt	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
linux/flutter/generated_plugin_registrant.cc	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
linux/flutter/generated_plugin_registrant.h	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
linux/flutter/generated_plugins.cmake	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
linux/runner/CMakeLists.txt	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
linux/runner/main.cc	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
linux/runner/my_application.cc	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
linux/runner/my_application.h	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
macos/.gitignore	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
macos/Flutter/Flutter-Debug.xcconfig	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
macos/Flutter/Flutter-Release.xcconfig	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
macos/Flutter/GeneratedPluginRegistrant.swift	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
macos/Runner.xcodeproj/project.pbxproj	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
macos/Runner.xcodeproj/project.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
macos/Runner.xcodeproj/xcshareddata/xcschemes/Runner.xcscheme	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
macos/Runner.xcworkspace/contents.xcworkspacedata	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
macos/Runner.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
macos/Runner/AppDelegate.swift	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
macos/Runner/Assets.xcassets/AppIcon.appiconset/app_icon_1024.png	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
macos/Runner/Assets.xcassets/AppIcon.appiconset/app_icon_128.png	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
macos/Runner/Assets.xcassets/AppIcon.appiconset/app_icon_16.png	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
macos/Runner/Assets.xcassets/AppIcon.appiconset/app_icon_256.png	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
macos/Runner/Assets.xcassets/AppIcon.appiconset/app_icon_32.png	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
macos/Runner/Assets.xcassets/AppIcon.appiconset/app_icon_512.png	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
macos/Runner/Assets.xcassets/AppIcon.appiconset/app_icon_64.png	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
macos/Runner/Base.lproj/MainMenu.xib	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
macos/Runner/Configs/AppInfo.xcconfig	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
macos/Runner/Configs/Debug.xcconfig	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
macos/Runner/Configs/Release.xcconfig	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
macos/Runner/Configs/Warnings.xcconfig	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
macos/Runner/DebugProfile.entitlements	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
macos/Runner/Info.plist	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
macos/Runner/MainFlutterWindow.swift	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
macos/Runner/Release.entitlements	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
macos/RunnerTests/RunnerTests.swift	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
public/medo/account-deletion/index.html	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
public/medo/privacy/index.html	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
pubspec.lock	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
pubspec.yaml	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
scripts/agent-workflow-hook.mjs	A	upstream-owned-unmodified	apply	none	upstream-v1-distribution-addition
scripts/check-docs.sh	A	customized-shared	merge	none	pathwise-merge-preserves-P-customization-and-v1-contract
scripts/create-template-archive.sh	A	upstream-owned-unmodified	apply	none	upstream-v1-distribution-addition
scripts/scope.mjs	A	upstream-owned-unmodified	apply	none	upstream-v1-distribution-addition
scripts/test-agent-workflow-hook.mjs	A	upstream-owned-unmodified	apply	none	upstream-v1-distribution-addition
scripts/test-agent-workflow-smoke.mjs	A	upstream-owned-unmodified	apply	none	upstream-v1-distribution-addition
scripts/test-validators.mjs	A	customized-shared	merge	none	pathwise-merge-preserves-P-customization-and-v1-contract
scripts/validate-doc-links.mjs	A	customized-shared	merge	none	pathwise-merge-preserves-P-customization-and-v1-contract
scripts/validate-frontmatter.mjs	M	customized-shared	merge	none	pathwise-merge-preserves-P-customization-and-v1-contract
scripts/validate-intent.mjs	A	upstream-owned-unmodified	apply	none	upstream-v1-distribution-addition
scripts/validate-qa.mjs	A	customized-shared	merge	none	pathwise-merge-preserves-P-customization-and-v1-contract
scripts/validate-todo.mjs	A	customized-shared	keep	none	conservative-customized-overlap-retained-byte-identical-to-P
supabase/config.toml	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
supabase/functions/delete-account/.npmrc	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
supabase/functions/delete-account/deno.json	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
supabase/functions/delete-account/deno.lock	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
supabase/functions/delete-account/index.ts	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
supabase/functions/revenuecat-webhook/.npmrc	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
supabase/functions/revenuecat-webhook/deno.json	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
supabase/functions/revenuecat-webhook/deno.lock	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
supabase/functions/revenuecat-webhook/index.ts	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
supabase/functions/revenuecat-webhook/index_test.ts	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
supabase/functions/sync-reviewer-entitlement/.npmrc	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
supabase/functions/sync-reviewer-entitlement/deno.json	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
supabase/functions/sync-reviewer-entitlement/deno.lock	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
supabase/functions/sync-reviewer-entitlement/index.ts	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
supabase/functions/sync-reviewer-entitlement/index_test.ts	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
supabase/functions/usage-analytics/deno.json	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
supabase/functions/usage-analytics/deno.lock	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
supabase/functions/usage-analytics/index.ts	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
supabase/functions/usage-analytics/index_test.ts	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
supabase/migrations/20260509081731_revenuecat_supabase_entitlement_sync.sql	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
supabase/migrations/20260510113000_reviewer_temporary_entitlement.sql	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
supabase/migrations/20260513090000_usage_analytics.sql	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
supabase/migrations/revenuecat_entitlement_schema_test.ts	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
test/analytics/usage_analytics_test.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
test/auth/account_deletion_cleanup_test.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
test/billing/pro_access_state_test.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
test/billing/pro_entitlement_cache_repository_test.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
test/billing/pro_entitlement_repository_test.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
test/billing/purchase_flow_test.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
test/calendar_export_delivery_test.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
test/calendar_export_request_builder_test.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
test/calendar_export_test.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
test/persistence/plan_repository_test.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
test/persistence/timeline_template_apply_service_test.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
test/persistence/timeline_template_repository_test.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
test/reminder_notifications_test.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
test/template_sheet_test.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
test/timeline_image_export_test.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
test/timeline_image_share_card_test.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
test/timeline_text_export_test.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
test/widget_test.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
web/drift_worker.dart	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
web/drift_worker.dart.js	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
web/drift_worker.dart.js.deps	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
web/drift_worker.dart.js.map	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
web/favicon.png	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
web/icons/Icon-192.png	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
web/icons/Icon-512.png	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
web/icons/Icon-maskable-192.png	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
web/icons/Icon-maskable-512.png	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
web/index.html	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
web/manifest.json	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
web/sqlite3.wasm	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
windows/.gitignore	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
windows/CMakeLists.txt	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
windows/flutter/CMakeLists.txt	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
windows/flutter/generated_plugin_registrant.cc	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
windows/flutter/generated_plugin_registrant.h	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
windows/flutter/generated_plugins.cmake	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
windows/runner/CMakeLists.txt	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
windows/runner/Runner.rc	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
windows/runner/flutter_window.cpp	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
windows/runner/flutter_window.h	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
windows/runner/main.cpp	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
windows/runner/resource.h	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
windows/runner/resources/app_icon.ico	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
windows/runner/runner.exe.manifest	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
windows/runner/utils.cpp	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
windows/runner/utils.h	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
windows/runner/win32_window.cpp	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
windows/runner/win32_window.h	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
